"Taxonomy"	"Mortierellales"	"Eurotiales"	"Hypocreales"	"Thelebolales"	"Incertae_sedis_Ascomycota"	"Pleosporales"	"Sordariales"	"Cantharellales"	"Saccharomycetales"	"Microascales"	"Chaetothyriales"	"Incertae_sedis_Sordariomycetes"	"Helotiales"	"Incertae_sedis_Dothideomycetes"	"Trichosphaeriales"	"Pezizales"	"Corticiales"	"Rhizophlyctidales"	"Incertae_sedis_Leotiomycetes"	"Amylocorticiales"	"Kickxellales"	"Ustilaginales"	"Agaricales"	"Orbiliales"	"Chytridiales"	"Sporidiobolales"	"Onygenales"	"Xylariales"	"Spizellomycetales"	"Cystofilobasidiales"	"Diversisporales"	"Mucorales"	"Glomerales"	"Tremellales"	"Capnodiales"	"Sebacinales"	"Blastocladiales"	"Polyporales"	"Russulales"	"Incertae_sedis_Fungi"	"Acarosporales"	"Erysiphales"	"Coniochaetales"	"Botryosphaeriales"	"Erythrobasidiales"	"Agaricostilbales"	"Auriculariales"	"Agyriales"	"Wallemiales"	"Chaetosphaeriales"	"Incertae_sedis_Agaricomycetes"	"Boletales"	"Magnaporthales"	"Malasseziales"	"Rhytismatales"	"Teloschistales"	"Melanosporales"	"Paraglomerales"	"Diaporthales"	"Venturiales"	"Archaeorhizomycetales"	"Trichosporonales"	"Taphrinales"	"Geastrales"	"Trechisporales"	"Cystobasidiales"	"Incertae_sedis_Eurotiomycetes"	"Hymenochaetales"	"Incertae_sedis_Exobasidiomycetes"	"Arachnomycetales"	"Archaeosporales"	"Geminibasidiales"	"Verrucariales"	"Tubeufiales"	"Rhizophydiales"	"Neocallimastigales"	"Thelephorales"	"Boliniales"	"Dothideales"	"Filobasidiales"	"Incertae_sedis_Tritirachiomycetes"	"Gloeophyllales"	"Olpidiales"	"Leotiales"	"Microthyriales"	"Lulworthiales"	"Atheliales"	"Others"
"787_Z1_2"	0.214087439	0.018736988	0.130117974	0.000346981	0.009021513	0.029493407	0.052047189	0.001387925	0.064191534	0.02463567	0.009715475	0.003816794	0.020471895	0	0.004857738	0.005898681	0.000346981	0	0.000693963	0	0.00277585	0.012838307	0.004510756	0.001040944	0	0.007980569	0.001040944	0	0	0.000346981	0	0	0	0	0.003469813	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375433727
"787_Z1_3"	0.132893824	0.022553782	0.187716863	0.0055517	0.000346981	0.027064539	0.082581541	0.000346981	0.128383067	0.013532269	0.004857738	0.004857738	0.002428869	0	0.014226232	0.000346981	0.000346981	0	0.001040944	0.041984733	0	0.022206801	0.003816794	0.000693963	0	0.002081888	0.000693963	0.000693963	0.001040944	0	0	0	0.003469813	0.000346981	0.006939625	0	0	0.000346981	0.000346981	0	0.000693963	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285218598
"IB014_Z1_1"	0.138098543	0.011797363	0.056904927	0.000693963	0.002081888	0.013532269	0.022553782	0.001040944	0.001040944	0.007633588	0.001387925	0.001734906	0.002081888	0	0.000693963	0.001040944	0	0	0.001040944	0	0	0.007286607	0	0.000346981	0	0.003816794	0.000693963	0	0	0	0.000693963	0.001040944	0.001040944	0.000693963	0.0055517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715475364
"IB014_Z1_2"	0.086745316	0.033310201	0.05759889	0.008674532	0.004857738	0.019430951	0.017696044	0	0.000693963	0.006592644	0.002081888	0.017696044	0.004857738	0	0.000346981	0.008674532	0.0055517	0.000346981	0.001387925	0	0	0.003122831	0.001387925	0.000346981	0	0.00277585	0.003122831	0	0.000346981	0	0	0.000346981	0.001040944	0.000346981	0.000693963	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.709576683
"IB014_Z1_3"	0.139486468	0.062803609	0.20333102	0.017349063	0	0.045454545	0.04406662	0.001040944	0.000346981	0.018043026	0.003469813	0.013879251	0.005204719	0	0.005898681	0.000346981	0	0	0.001734906	0	0	0.006245663	0.00277585	0	0.000346981	0.002428869	0.002428869	0	0	0	0.000693963	0	0.001734906	0.000693963	0.00277585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.417071478
"PHN11_Z1_1"	0.147120056	0.015961138	0.052047189	0.001387925	0.000346981	0.019777932	0.026717557	0.000693963	0.002428869	0.005898681	0.000693963	0.007286607	0.003469813	0	0.000693963	0.003469813	0	0	0.000346981	0	0	0.002428869	0.001734906	0	0	0	0.003122831	0.001040944	0.001040944	0	0.009368494	0	0.006939625	0.001734906	0.004163775	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.679042332
"PHN11_Z1_2"	0.03851492	0.012838307	0.029840389	0.000693963	0.006592644	0.007980569	0.019083969	0.000346981	0.000346981	0.001387925	0.001734906	0.003469813	0.004163775	0	0.000346981	0.009368494	0.000346981	0.000346981	0.000346981	0	0	0.000346981	0.002081888	0	0.000346981	0.000693963	0.000346981	0	0.003469813	0	0	0	0	0.000346981	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.853920888
"PHN11_Z1_3"	0.129424011	0.013532269	0.06037474	0.002428869	0.017696044	0.007286607	0.029840389	0	0.000693963	0.009021513	0.003122831	0.004510756	0.004163775	0	0.018043026	0.006939625	0	0.000346981	0	0	0.000346981	0.001040944	0.005204719	0	0.014226232	0.001734906	0.001040944	0	0.005898681	0	0	0	0	0	0.001387925	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.661346287
"PHJ75_Z1_1"	0.074600972	0.009368494	0.045801527	0.000346981	0.000346981	0.0111034	0.010756419	0.000693963	0.000346981	0.015961138	0.001734906	0.004857738	0.003469813	0	0.004163775	0.003469813	0	0	0	0	0	0.002428869	0.002428869	0.000693963	0.000346981	0.001734906	0.001040944	0.000346981	0.001040944	0	0	0.000346981	0.000346981	0	0.001387925	0	0	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.800138793
"PHJ75_Z1_2"	0.109299098	0.016308119	0.059680777	0.000346981	0.001734906	0.018736988	0.018390007	0	0.000693963	0.017349063	0.000693963	0.005898681	0.003469813	0	0.000346981	0.001040944	0	0	0.00277585	0.000693963	0	0.005204719	0.001387925	0	0.001040944	0.000693963	0.002081888	0	0.001734906	0	0.000693963	0	0.004510756	0.001040944	0.003469813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.720680083
